    0.173617955181581490E+00    0.494411572031408681E+02    0.863180228485809359E-01    0.314240519502067661E+01   -0.378938727021446020E+01    0.213951197684452277E+01   -0.159585514962012009E+01   -0.158572234249978461E+01    0.302664993448577058E+00   -0.436598001140056180E+01
    0.903454056945757478E-01    0.496568034296151026E+02    0.731984954991407033E-01    0.287658441723008229E+01   -0.537770575279847041E+01    0.211505504371004083E+01   -0.164937943628055983E+01   -0.154557366117730233E+01    0.307151081293493500E+00   -0.214267151388364807E+01
    0.153972586848572096E+00    0.508513656253675492E+02    0.821511917389216306E-01    0.248548278563448655E+01   -0.266379957032678982E+01    0.216123186960311031E+01   -0.954601617014811499E+00   -0.563412506615762698E+01    0.326453700519421186E+00   -0.206039973334339299E+01
    0.110553007569430886E+00    0.508118011918162793E+02    0.721792128716937792E-01    0.180860991935417648E+01   -0.370843558011077334E+01    0.212238230936011663E+01   -0.158848192896362850E+01   -0.427611487456313810E+01    0.310561819749681889E+00   -0.165940429722689697E+01
    0.114248116766945948E+00    0.506099220674610137E+02    0.696475660327416229E-01    0.218186911625466040E+01   -0.394557012164841359E+01    0.214797173641622807E+01   -0.148501355344638153E+01   -0.396872356976666563E+01    0.322936567947733122E+00   -0.158531984330679077E+01
    0.125231974790350725E+00    0.517887457463634391E+02    0.727248060537338675E-01    0.294729183789625671E+01   -0.236286660045484576E+01    0.213061080846777839E+01   -0.904242245609339967E+00   -0.755768049492539973E+01    0.323349460812797140E+00   -0.139306230381235219E+01
    0.156434737940453150E+00    0.495384430185950109E+02    0.867644185562158610E-01    0.339639811629502697E+01   -0.404082383687019053E+01    0.213988227062276026E+01   -0.146716384479624695E+01   -0.196268811091118778E+01    0.303367340303656419E+00   -0.134575733804687081E+01
    0.867423192272238908E-01    0.498488148201894603E+02    0.574759794062159324E-01    0.230019280292396200E+01   -0.533757488245084133E+01    0.208848333038927203E+01   -0.197415310851227410E+01   -0.106085916574668726E+01    0.326903711485177773E+00   -0.101812123344436634E+01
    0.111012812387920712E+00    0.518355233104233619E+02    0.676319988366613362E-01    0.251880126437345719E+01   -0.259584015560915615E+01    0.214339021384186834E+01   -0.633921196589534830E+00   -0.796245289091409081E+01    0.324815901858305722E+00   -0.834571596476466504E+00
    0.943391599299329559E-01    0.505954138392309360E+02    0.668875094254885449E-01    0.267225245420165169E+01   -0.437696521228294699E+01    0.210940467723899960E+01   -0.146161337331741414E+01   -0.376673982047038347E+01    0.325075674979030393E+00   -0.581445862464621599E+00
