inclination_EM log10_E0 thetaCore alphaWing log10_n0 p log10_epsilon_e log10_epsilon_B em_syserr luminosity_distance redshift timeshift log_likelihood log_prior
0.19243238624028083 53.857999344878166 0.1766007137374691 1.8405098520689274 0.309049698575695 2.47227245157562 -1.5434182444031297 -5.809394760481398 0.30615970269326337 40.0 0.0 0.0 1.0997886961718955 -8.562426790222382
0.06823179998847288 54.89970799043511 0.09527432011183337 2.8513285051720083 -1.3882328098292316 2.457491272099763 -1.8366338954053223 -6.426956578974763 0.3147716635333235 40.0 0.0 0.0 1.124223902833761 -8.562426790222382
0.2606956143752177 53.427982319465244 0.25784336071087527 1.4196354770316029 0.9554379896774661 2.4580282121573775 -1.673030959998953 -5.374819565154068 0.3079664732758253 40.0 0.0 0.0 2.0430235522327957 -8.562426790222382
0.053608174909640156 53.662235648951075 0.3897637792295666 1.5604982930180433 1.7295775592551124 2.4803764275737747 -1.3319190145224784 -7.0261227073232435 0.3001065149858915 40.0 0.0 0.0 2.1963371783257233 -8.562426790222382
0.06201987933220655 53.47793980618144 0.17658047531322976 2.355336920217725 -0.924396916329675 2.481778861065788 -2.00811922848652 -4.116116139676832 0.3397082445048584 40.0 0.0 0.0 2.4321921607296373 -8.562426790222382
0.14437299817653326 53.44245544512911 0.41195328947984705 0.7789778822965252 0.702766795160775 2.4884730115294076 -1.6054128705774362 -5.643367458621444 0.30564401523189405 40.0 0.0 0.0 2.5197137430458896 -8.562426790222382
0.24128628186705314 54.06713044796277 0.17071283747588697 1.9530066790350262 0.9931028964981934 2.5008832050766165 -1.5929900804895993 -6.226728298878884 0.3127320797885106 40.0 0.0 0.0 2.561847600755459 -8.562426790222382
0.11261588019916843 53.92657581145229 0.1908302088844247 3.359032780700407 -0.015051459455140304 2.4673702512633766 -1.782683311442987 -5.721642087670733 0.31808725872981924 40.0 0.0 0.0 2.686943762371728 -8.562426790222382
0.1325175876846913 53.68961299090041 0.3145531518174578 2.4371429464642635 0.9288329575466339 2.508165958785855 -1.4790839469436898 -6.3456146314751765 0.3211010750133056 40.0 0.0 0.0 2.877483098943243 -8.562426790222382
0.23245121956066417 53.45626276030043 0.21088728056013392 2.3927335597003077 0.46591384762434895 2.493370896382719 -1.570601018692714 -5.253050231931104 0.31222207698212007 40.0 0.0 0.0 2.930822219781791 -8.562426790222382
