 radio-6GHz besselli bessellv uvot__b X-ray-5keV
0 8.417012530857225 10.037121448897015 10.348106611521757 10.536288890848411 16.637197156486693
1 8.363906715201015 10.162671961806002 10.473656146440867 10.661840682239195 16.76274973591673
2 8.31151756026151 10.285751969702574 10.596740269098742 10.78492482074633 16.885834363136528
3 8.258337039112089 10.409934514008949 10.720924439442253 10.909109642679997 17.010019368261037
4 8.201903995055343 10.534292360148381 10.845283855834907 11.0334691450876 17.134378993656135
5 8.14889714851611 10.65824892095024 10.969240708194537 11.157426144628786 17.25833599933265
6 8.09531293823808 10.782216233280419 11.09320844269535 11.281393898882353 17.382303749172088
7 8.041870492411913 10.907147645964063 11.218139868909812 11.4063252792983 17.50723516211017
8 7.988067668542914 11.03222922696752 11.343221350719915 11.531406768390337 17.632316695932488
9 7.933138893184747 11.155617922400658 11.466610072444677 11.654795532477955 17.75570545690391
10 7.880395473510891 11.281014682929413 11.592006943552065 11.780192401104696 17.88110232141264
11 7.826276512570512 11.405925189071876 11.716917444839034 11.905102909713612 18.006012841372538
12 7.771758883287379 11.531622069624586 11.842614339575128 12.030799803535267 18.131709750068435
13 7.714269192108517 11.65658434843457 11.96757662137085 12.155762087249972 18.25667205014726
14 7.6638954831636745 11.779589513186416 12.090581789218515 12.278767254240229 18.379677239618275
15 7.609836523775918 11.904586572169539 12.215578846870994 12.403764315376197 18.50467430876663
16 7.556385503114619 12.029672630981256 12.340664913201323 12.528850380695381 18.629760393215346
17 7.502769702794442 12.155583826688204 12.466576107312548 12.654761576002045 18.755671600950254
18 7.448812107489253 12.280046882376784 12.591039165540643 12.779224634255165 18.88013469327084
19 7.395456016753879 12.404968545329837 12.715960828764452 12.904146297588486 19.005056394910763
20 7.341967341386486 12.528370069679525 12.839362353478766 13.027547822435643 19.12845801402882
21 7.289060874137579 12.653344992811004 12.964337276912595 13.152522745831167 19.25343302556525
22 7.23287889088126 12.778473908214075 13.089466192259568 13.277651661196835 19.37856200535801
23 7.178645245433778 12.903405766779436 13.214398050824329 13.402583519749026 19.503493658313843
24 7.1253949100825125 13.028003170783599 13.338995454853755 13.52718092378095 19.628090930668357
25 7.07171790195774 13.15216397140171 13.463156255465957 13.651341724391692 19.75225196394333
26 7.017342490425953 13.276688995268952 13.587681279329626 13.775866748255638 19.876777146787603
27 6.963791181592434 13.402852646888526 13.71384493094877 13.902030399875684 20.002940917022244
28 6.907208471716391 13.528377693110915 13.83936997717377 14.027555446100855 20.128466154962595
29 6.855272753635504 13.652523303846952 13.963515587910756 14.1517010568379 20.252611944892415
30 6.799233167665609 13.777935080783156 14.08892736484723 14.277112833774375 20.378023854844486
31 6.744237898225322 13.90255285195019 14.213545136014112 14.40173060494126 20.502641893682956
32 6.701311758419919 14.029632087097955 14.340624371161972 14.52880984008912 20.629721272276246
33 6.674622643082795 14.1556913074946 14.466683591558592 14.654869060485744 20.75578075450695
34 6.659132293064744 14.282088851901626 14.593081135965807 14.781266604892952 20.882178431276817
35 6.655166547655337 14.409186728435127 14.72017901249918 14.908364481426332 21.009276668115007
36 6.657621288222568 14.536877048720957 14.847869332785265 15.036054801712417 21.136967643873803
37 6.674086181929006 14.66515271918123 14.976145003245392 15.16433047217254 21.265243839279798
38 6.690726979811817 14.792617260075446 15.103609544139594 15.29179501306674 21.39270909572211
39 6.722160769672044 14.922697893457023 15.233690177521122 15.421875646448271 21.522790707611485
40 6.7559333674839905 15.052400194559542 15.363392478623478 15.551577947550623 21.65249375997667
41 6.79753911041335 15.18166989133967 15.492662175403755 15.6808476443309 21.781762030196404
42 6.845512080387341 15.311532284967445 15.622524569031608 15.810710037958753 21.91162415792789
43 6.9041192006077985 15.442463489295413 15.753455773359505 15.941641242286654 22.04255626456575
44 6.967618215060835 15.57315939582708 15.884151679891183 16.07233714881833 22.173254259548095
45 7.038177288408306 15.70374091848489 16.014733202549053 16.202918671476205 22.30383722439796
46 7.113826693958828 15.83546940955944 16.146461693623415 16.334647162550564 22.43556623837522
47 7.196050162508456 15.966907715743648 16.27789999980749 16.466085468734644 22.567006484926875
48 7.282344800184497 16.098728829477423 16.40972111354122 16.597906582468372 22.698829519675698
49 7.374226731283333 16.23093239884822 16.541924682912075 16.73011015183922 22.83103463623864
50 7.472952118517558 16.365699956136314 16.67669224020076 16.864877709127914 22.96579964136309
51 7.577882840427826 16.499457019716285 16.810449303780484 16.998634772707636 23.099553427173547
52 7.690366552624756 16.63404243213359 16.94503471619792 17.133220185125072 23.234141479141826
53 7.80679969024569 16.768879841306955 17.07987212537121 17.268057594298362 23.368983879632115
54 7.928868156694598 16.905230028275938 17.21622231233976 17.404407781266904 23.505336893703372
55 8.055746677722869 17.042676516289156 17.35366880035322 17.541854269280364 23.642784420112285
56 8.1850459621397 17.181387325074972 17.49237960913919 17.68056507806634 23.78149515178184
57 8.317525780420205 17.319619115764926 17.63061139982902 17.818796868756174 23.919725378179614
58 8.457453238010629 17.46335466554185 17.774346949605736 17.962532418532888 24.063456102826407
59 8.596665221851577 17.60505695076249 17.91604923482666 18.104234703753804 24.20516198450808
60 8.737100386617236 17.748944987332717 18.05993727139664 18.248122740323787 24.349060760942063
61 8.88038898995989 17.891941597889286 18.2029338819527 18.39111935087985 24.49205694190832
62 9.025482151654856 18.03766492617596 18.34865721024004 18.536842679167187 24.637778334294197
63 9.173572853056363 18.186048394508738 18.497040678571775 18.685226147498927 24.786157993315417
64 9.322942431939769 18.33561260367346 18.646604887737574 18.83479035666472 24.935724871535573
